name,regex
سوفزا,سوفزا
سهراب پسر رستم,سهراب پسر رستم|سهراب
سهراب پسر پشین,سهراب پسر پشین
سهی,سهی|سهی
سیامک,سیامک|سیامک|سوشیانس
سیامک تورانی,سیامک تورانی
سیاوش,سیاوش|سیاوش|سیاوش|سیاوّخش
سیسنک (زن بهرام گور),سیسنک 
سیما برزین,سیما برزین
سیندخت,سیندخت|سیندخت
شاپور پسر اردشیر,شاپور پسر اردشیر
شاپور اول,شاپور اول
شاپور ذوالاکتاف,شاپور ذوالاکتاف
شاپور دوم,شاپور دوم
شاپور پسر شاپور,شاپور پسر شاپور
شاپور سوم,شاپور سوم
شاپور پسر نستوه,شاپور پسر نستوه|شاپور|شمشیر زن
شاپور اشکانی,شاپور اشکانی
شاپور رازی,شاپور رازی
شاپور (موبد انوشیروان),شاپور 
شاپور(پهلوان دوره خسرو پرویز),شاپور
شادان پسر برزین,شادان پسر برزین
شاهوی ‌پسر‌ هفتواد,شاهوی ‌پسر‌ هفتواد
شبدیز,شبدیز
شطرخ,شطرخ
شعبه مغیره,شعبه مغیره
شغاد,شغاد
شگنان,شگنان
شماخ سوری,شماخ سوری
شماس(فرمانده لشکر نوش‌زاد),شماس
شماساس,شماساس|شماساس
شمر (گمارده بهرام گور),شمر 
شمیران‌شنگی,شمیران‌شنگی
شمیران شاه,شمیران شاه
شنبلید(زن بهرام گور),شنبلید
شنگل (شاه هندوستان),شنگل |شَنگُل
شنگل(پهلوان),شنگل
شهران‌گراز,شهران‌گراز
شهرگیر(سالار سپاه اردشیر بابکان),شهرگیر|شهرگیر
شهرگیر(سالار سپاه اسکندر),شهرگیر
شهرناز,شهرناز|شهرناز
شهرو(موبد),شهرو|شهرو|یا شهروی
شهروی,شهروی|شهرو|یا شهروی
شهروی(موبد),شهروی
شهریار (پسر خسروپرویز),شهریار 
شیدسپ,شیدسپ|شیدشپ
شیدوش,شیدوش|شیدوش
شیده,شیده|شیده|پشنگ
شیرخون,شیرخون
شیرزیل(شیرذیل),شیرزیل
شیروی,شیروی|شیروی
شیرین(یار خسروپرویز),شیرین|شیرین|سیرا
شیروی پسر بهرام,شیروی پسر بهرام
شیرویه,شیرویه
صیاع,صیاع
ضحاک,ضحاک|ضحاک|بیور|[۲] بیورداسب|ماردوش|بیوراسب|[۱] آژی‌دَهاک|زهاک ماردوش|دَهاک
طایر,طایر
طرخان,طرخان
طغری(پرنده شکاری بهرام گور),طغری
طلخند پسر مای,طلخند پسر مای|طلخند
طوس پسر نوذر,طوس پسر نوذر|توس|زرینه کفش
طوش,طوش|طوش
طهماسب,طهماسب
طهمورث,طهمورث|تهمورث|زیناونددیوبند|تهمورس|طهمورثتخمواوروپَ (اوستایی)تهمورب (پهلوی)[۱]
طینوش,طینوش
عباس(دوره هرمزد نوشین‌روان),عباس
علی دیلمی,علی دیلمی
علی,علی
عمر بن خطاب,عمر بن خطاب
عمر سعد وقاص,عمر سعد وقاص
عمرو(دوره هرمزد نوشین‌روان),عمرو
غاتفر,غاتفر
غرچه,غرچه
فرامرز,فرامرز
فرانک(مادر فریدون),فرانک|فرانک
فرانک(زن بهرام گور),فرانک
فرآیین,فرآیین
فرایین (دوره قباد یکم),فرایین 
فرخ‌پی(زن شاپور ذوالکتاف),فرخ‌پی
فرخ‌زاد پسر هرمز,فرخ‌زاد پسر هرمز
فرخ‌زاد پسر خسروپرویز,فرخ‌زاد پسر خسروپرویز
فردوسی,فردوسی|حکیم طوس|حکیم سخن
فرش آورد,فرش آورد|فرشیدورد
فرشیدورد پسر ویسه,فرشیدورد پسر ویسه|فرشیدورد
فرشیدورد پسر گشتاسب,فرشیدورد پسر گشتاسب|فرشیدورد
فرشیدورد (مردی خسیس),فرشیدورد 
فرطوس,فرطوس
فرعان(معمار طاق کسری‌),فرعان
فرغار,فرغار|فرغار
فرنگیس,فرنگیس|فرنگیس|فری‌گیسویسپان‌فریا (اوستایی)[۱]
فرود پسر سیاوش,فرود پسر سیاوش|فرود
فرود (پسر خسروپرویز),فرود 
فروهل,فروهل|فروهل
فرهاد (پهلوان دوره انوشیروان),فرهاد 
فریان,فریان
فریبرز (پسر کیکاووس),فریبرز |فریبرز
فریبرز (ساسانی),فریبرز 
فریدون,فریدون|فریدون|فرّخ|اژدهاکُش|ثْرَئیتَونَه|فریتونآفریدون|اَفریدون
فغانیش,فغانیش|فغانیش
فغستان,فغستان|فغستان
فور هندی,فور هندی|پور
قارن پسر کاوه,قارن پسر کاوه|قارن
قارن پسر گشسپ,قارن پسر گشسپ
قارن پارسی,قارن پارسی
قالوس,قالوس
قباد,قباد
قحطان,قحطان
قراخان,قراخان
قلون(سردار تورانی افراسیاب),قلون
قلون(قاتل بهرام‌چوبین),قلون
قیدافه,قیدافه
قیدروش,قیدروش
قیطون,قیطون
کالو,کالو
کاکوی,کاکوی
کاموس کشانی,کاموس کشانی|کاموس|کاموس کشانی
کاوه آهنگر,کاوه آهنگر|کاوه|آهنگر
کبرد,کبرد
کبروی,کبروی
کتایون,کتایون|کتایون|مهشید|ناهید
کتماره,کتماره
کرسیون,کرسیون
کرم‌ هفتواد,کرم‌ هفتواد
کشمگان(پسر فرخ‌زاد),کشمگان
کشواد,کشواد|کشواد
کلباد,کلباد|کلباد
کلبوی سوری,کلبوی سوری
کندر,کندر
کوت,کوت
کوهیار,کوهیار
کهرم,کهرم
کهیلا,کهیلا|کهیلا
کی‌آرش,کی‌آرش
کیانوش,کیانوش|کیانوش
کید‌شاه هندوستان,کید‌شاه هندوستان|کید
کی‌پشین,کی‌پشین|پشین
کَیروی,کَیروی
کیخسرو,کیخسرو|خسرو|مؤمن|عادل|کوی‌خسرو اوستا
کیقباد (پهلوان دوره یزدگرد بهرام),کیقباد 
کیقباد,کیقباد|کوی کواد|کوی‌کوات (اوستا)  کی‌قباد (الگو:معرب)
کیکاوس,کیکاوس|کی‌کاووس
کیومرث,کیومرث|کیومرث|گرشاه|گِلشاه|کل شاه|کرشاه|کوشاهنخست‌اندیش|گَیومَرَتن|گیه مرتَ|گیومرث|گیومرت|گیومرد|گیوک مرت|کهومرث|جیومرت
گراز (سردار دوره ‌خسرو‌پرویز),گراز 
گرازه,گرازه|گرازه
گرامی (پسر جاماسپ),گرامی |گِرامی
گردآفرید دختر گژدهم,گردآفرید دختر گژدهم|گَردآفرید
گردوی,گردوی
گردیه,گردیه|گردیه|گردیک|کردیه|گرویه
گرزاسپ,گرزاسپ
گرزاسب,گرزاسب
گرزسپ,گرزسپ
گرزم,گرزم
گرستون,گرستون
گرسیوز,گرسیوز
گرشاسپ (پسر زو),گرشاسپ |گرشاسپ
گرشاسپ (پهلوان),گرشاسپ |گرشاسپ|گرشاسپ پهلوان
گرگسار,گرگسار
گرگین میلاد,گرگین میلاد
گرمایل,گرمایل|گرمایل|پارسا
گرو,گرو
گروی زره,گروی زره|گروی
گژدهم,گژدهم|گژدهم
گستهم پسر نوذز ,گستهم پسر نوذز |گستهم
گستهم پسر گژدهم,گستهم پسر گژدهم|گستهم
گستهم (دایی خسروپرویز),گستهم 
گستهم(پهلوان دوره یزدگرد بزه‌گر) ,گستهم
گستهم(پهلوان دوره بهرام گور),گستهم
گشتاسپ,گشتاسپ|گشتاسپ|کی|کؤی|فرخ‌زاد|ویشتاسپ|هیشتاسپ
گشسپ (پهلوان دوره یزدگرد بزه‌گر),گشسپ 
گشسپ (از بزرگان دوره انوشیروان),گشسپ 
گشسپ(پدر بهرام چوبین),گشسپ
گلبوی سوری,گلبوی سوری
گلشهر,گلشهر|گلشهر
گلگله,گلگله
گلنار(معشوقه اردوان),گلنار
گلینوش,گلینوش
گو پسر جمهور,گو پسر جمهور
گودرز,گودرز|گودرز
گودرز اشکانی,گودرز اشکانی
گوش‌بستر,گوش‌بستر
گهار‌گهانی,گهار‌گهانی
گیلوی طبری,گیلوی طبری
گیو,گیو|گِیو
گیوه‌,گیوه‌
لنبک,لنبک
لواده ,لواده 
لهاک,لهاک|لهاک
لهراسب,لهراسب|لهراسپ|هیربد
ماخ,ماخ
مالکه (دختر نوشه),مالکه 
مامون,مامون
مانی,مانی|فرستادهٔ روشنی|سرور نجات بخش|بغ راستیگر|بودای روشنی و فارقلیط مانی نقاش|ماناگ|مانا
ماه‌آذر,ماه‌آذر
 ماه‌آفرید(مادر منوچهر شاه), ماه‌آفرید|ماه آفرید
ماه‌آفرید(زن بهرام گور),ماه‌آفرید
ماهوی سوری,ماهوی سوری
ماهیار (پیرمرد),ماهیار 
ماهیار گوهرفروش,ماهیار گوهرفروش
مای شاه هندوستان ,مای شاه هندوستان 
محمد,محمد
محمود غزنوی,محمود غزنوی
مردان‌شاه (پسر خسروپرویز),مردان‌شاه 
مردوی,مردوی
مریم (همسر خسرو پرویز),مریم |ماریا (رومی)|مریم (فارسی)
مزدک,مزدک|مزدک|پیامبر|مَزدَکو|مَزدَکا|مَژْدَک و مَزدَق
مسیح,مسیح
مُشک(دختر آسیابان),مُشک
مشکناز (زن بهرام گور),مشکناز 
مقاتوره (مغاتوره),مقاتوره 
منذر ,منذر 
منوچهر,منوچهر|منوچهر
منوچهر آرش,منوچهر آرش
منوشان,منوشان|منوشان
منیژه,منیژه|منیژه
موشیل,موشیل
مه‌آفرید,مه‌آفرید
مهبود,مهبود
مهراب کابلی,مهراب کابلی|مهراب
مهرآذر,مهرآذر
مهر هرمزد,مهر هرمزد
مهراس,مهراس
مهران ستاد,مهران ستاد
مهران (دبیر هرمزد پسر انوشیروان),مهران 
مهران(هندی),مهران
مهرایزدگشسپ,مهرایزدگشسپ
مهربرزین پسر خراد,مهربرزین پسر خراد
مهربنداد,مهربنداد
مهرپیروز پسر بهزاد,مهرپیروز پسر بهزاد
مهرک نوش‌زاد,مهرک نوش‌زاد
مهرک (پرستار دربار),مهرک 
مهرنوش پسر اسفندیار,مهرنوش پسر اسفندیار|مهرنوش
مهرنوش(موبد),مهرنوش
مهرنوش (پرستار انوشیروان),مهرنوش 
مهرنوش ‌پشمینه‌پوش,مهرنوش ‌پشمینه‌پوش
مهرهرمزد,مهرهرمزد
میروی طبری,میروی طبری
میرین,میرین|میرین
میلاد,میلاد
نار (زن بهرام گور),نار 
نازباب (زن بهرام گور),نازباب 
نام خواست,نام خواست|نام‌خواست
ناهید,ناهید
نرسی(پسر بهرام سوم),نرسی
نرسی (برادر بهرام گور),نرسی 
نرسی اشکانی,نرسی اشکانی
نریمان,نریمان|نریمان
نستاو,نستاو
